Month,DayOfMonth,Hour,Minute,SOUTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,EAST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,NORTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,WEST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,ROOF_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Window_Transmitted_Solar_Radiation_Rate,SOUTH_WINDOW_2_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_2_Surface_Window_Transmitted_Solar_Radiation_Rate,MAIN_ZONE_Zone_Mean_Air_Temperature
5,26,17,0.0,95.79410814466321,95.79410814466321,132.10993970037978,511.28246383354076,321.1448991112912,95.79410814466321,342.7974480810726,95.79410814466321,342.7974480810726,38.87623672240666
5,26,18,0.0,69.22201130292926,69.22201130292926,130.1691177539008,316.9957813553999,178.33103877286786,69.22201130292926,247.70968993050008,69.22201130292926,247.70968993050008,37.67142526126073
5,26,19,0.0,29.47015612186704,29.47015612186704,103.53760938287758,207.69581516635571,66.74813567318265,29.47015612186704,105.45840979980593,29.47015612186704,105.45840979980593,35.75291081881829
5,26,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.45595103201859
5,26,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.974713918289527
5,26,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.70805242326721
5,26,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.56929607169684
5,26,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.602650034721442
5,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.98564671029131
5,27,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.71041093246351
5,27,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6627359410255
5,27,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67625933229877
5,27,5,0.0,3.529070950820146,3.529070950820146,3.529070950820146,3.529070950820146,6.8125,3.529070950820146,12.628715267240448,3.529070950820146,12.628715267240448,18.916670020399145
5,27,6,0.0,28.903507493164714,50.51576673357408,35.3793397435669,28.903507493164714,58.47673072046825,28.903507493164714,103.43066813969824,28.903507493164714,103.43066813969824,18.465754108041033
5,27,7,0.0,89.13939044763154,242.94709500230584,115.9012983122619,89.13939044763154,208.6756993421699,89.13939044763154,318.98366361744536,89.13939044763154,318.98366361744536,18.81020085619876
